"","rand_survey_id","id","year","fec","post","livelihoods_Z","income_Z_t","assets_Z_t","durableLoan_t","susFarm","lab_index","inc_ntfp_t","inc_farm_wage_t","totalIncome_t_us","consumptionExp_t_us","irregularExp_t_us","durableLoan_t_us","susFarm_us","inc_farm_wage_t_us","inc_ntfp_t_us","lab_index_us"
"1093",544,547,2010,0,0,-0.428198049799792,-0.947686938395497,0.292196729718583,-0.343793346057863,3.20212253480029,0.443927633519425,-0.727056542736264,-0.0199674471028501,5.4293648650876,5.60581558245795,6.60123196477764,0,3,2.0947125472611,0,1.8
"1094",544,547,2014,0,1,0.0556224732534265,-0.911347610153353,1.23463731915901,-0.343793346057863,2.0283655480684,1.74707004159258,-0.727056542736264,-0.967210729794636,5.5606964235867,5.54519270291939,6.72863004390968,0,2,0,0,3
"1095",168,548,2010,0,0,-0.555067068298527,-0.878657737695265,-0.0106493333731469,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.727056542736264,1.01444220477376,6.53669369798376,3.17978543769988,6.41346164460613,0,0,4.3821828480655,0,0.6
"1096",168,548,2014,0,1,0.789762021568115,0.790465764098025,1.49680113645607,-0.343793346057863,-0.319148425395377,-0.424833971862676,0.989161967428727,0.884405331907474,8.32263715598074,5.48065628400101,7.84776269006146,0,0,4.09462222433053,3.68950386898891,1
"1097",532,549,2010,0,0,-0.351457939095493,0.213125581728003,-0.37752011909648,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,0.954080017542471,6.83518574234833,3.46671103788472,8.27282606886046,0,0,4.24869926123636,0,1.2
"1098",532,549,2014,0,1,0.540739510352007,0.137336034842309,1.46168329568553,-0.343793346057863,2.0283655480684,-0.967809975226489,-0.727056542736264,0.388606111707338,6.46147061775103,4.49993310426429,8.27893606671002,0,2,2.99822295029797,0,0.5
"1099",859,550,2010,0,0,-1.33959421806572,-1.02135126119544,-1.479429055392,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,0.0784896400597471,4.49993310426429,5.44675595022109,6.44572233890239,0,0,2.31243834127275,0,0
"1100",859,550,2014,0,1,-0.632133128975775,-0.851069339388604,-0.184439302579226,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,0.884405331907474,4.09462222433053,5.17051627653282,7.1467727994533,0,0,4.09462222433053,0,0
"1101",507,551,2010,0,0,-0.44890732836299,0.413115605060095,-0.714373993077083,-0.343793346057863,NA,0.443927633519425,1.31137019045987,1.42873577932815,7.46737139344801,5.02392380058495,8.21608817167833,0,NA,5.29834236561059,4.3821828480655,1.8
"1102",507,551,2014,0,1,-0.474398734733448,-0.764959702229127,0.0701442793678067,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,0,6.75460545787816,7.22110563253452,0,0,0,0,1
"1103",514,552,2010,1,0,-0.439570983305298,-0.666689303661019,0.0701442793678067,-0.343793346057863,-0.319148425395377,-1.5107859785903,1.91989008190627,-0.967210729794636,6.67456298603569,6.02587180821613,6.98471717745598,0,0,0,5.69037086756913,0
"1104",514,552,2014,1,1,-0.208820222196626,-0.933463145151303,0.721124034267605,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,0,5.70379358558213,6.90775627898064,0,0,0,0,0
"1105",512,553,2010,0,0,-0.607845655188014,-1.02757842757073,-0.0106493333731469,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,0.470709905282807,3.78470576309943,4.3821828480655,6.56526695376284,0,0,3.17978543769988,0,1.8
"1106",512,553,2014,0,1,-1.00079038967117,-0.96291216581317,-0.842867402850649,-0.343793346057863,-0.319148425395377,1.74707004159258,-0.727056542736264,-0.967210729794636,5.88611174741023,4.77075643517304,6.41346164460613,0,0,0,0,3
"1107",77,554,2010,1,0,1.99433642864436,5.28298992196029,0.721124034267605,-0.343793346057863,-0.319148425395377,-0.20764357051715,3.1319529984195,3.34992296535996,10.0956769302306,9.23122085914653,9.20532784025339,0,0,9.54681261369944,8.29604770501544,1.2
"1108",77,554,2014,1,1,1.17091600447811,1.63233191793666,1.66247998735636,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,7.49554225252609,5.55297460771872,8.96699412961372,0,0,0,0,1
"1109",202,555,2010,0,0,-0.74090344573445,-0.73739487560353,-0.482730486929852,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.967210729794636,7.02108476148206,5.14286658066197,6.41346164460613,0,0,0,0,1.8
"1110",202,555,2014,0,1,-0.295339522873008,-0.472823313260159,0.221281524856104,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,5.70379358558213,6.36303107617882,7.66949546895973,0,0,0,0,0
"1111",785,556,2010,1,0,-0.965475389721038,-0.863266941007561,-0.842867402850649,-0.343793346057863,-0.319148425395377,1.095498837556,-0.727056542736264,0.0784896400597471,6.05444485659434,5.59843567613726,6.72383388543716,0,0,2.31243834127275,0,2.4
"1112",785,556,2014,1,1,1.1904376941348,0.125866310609659,2.76998334812282,-0.343793346057863,0.854608561336511,-0.967809975226489,-0.727056542736264,-0.967210729794636,7.13886762982651,5.81712001755527,8.07090618644405,0,1,0,0,0.5
"1113",198,557,2010,0,0,-0.623787462949309,-0.695173243322041,-0.278304930247975,-0.343793346057863,-0.319148425395377,0.443927633519425,0.855568614892677,0.70120805202568,6.96602507710136,4.33090642553643,6.74052075680554,0,0,3.68950386898891,3.40230664548059,1.8
"1114",198,557,2014,0,1,-0.364643220977514,-0.668371453915286,0.221281524856104,-0.343793346057863,-0.319148425395377,0.118142031501137,-0.727056542736264,-0.967210729794636,6.68461329016427,5.59843567613726,7.02108476148206,0,0,0,0,1.5
"1115",225,558,2010,1,0,-0.297071697224202,-0.941287009413624,0.550065584068128,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.727056542736264,-0.967210729794636,6.17379044415146,4.58507158569381,6.35263243142819,0,0,0,0,0.6
"1116",225,558,2014,1,1,-0.829598580440888,-1.13600175121388,-0.37752011909648,-0.343793346057863,-0.319148425395377,0.118142031501137,-0.727056542736264,-0.967210729794636,4.94169343911329,4.3821828480655,5.43809821197888,0,0,0,0,1.5
"1117",136,559,2010,1,0,-0.824305865581648,-1.12106776387916,-0.37752011909648,-0.343793346057863,NA,1.095498837556,-0.727056542736264,1.01444220477376,5.52944483417904,4.11114250086322,5.19298771365894,0,NA,4.3821828480655,0,2.4
"1118",136,559,2014,1,1,-0.599773215586617,-0.885338284029147,-0.0953764691977971,-0.343793346057863,-0.319148425395377,-0.0628499696201337,-0.727056542736264,-0.967210729794636,6.94697691669035,3.33347758688399,5.48065628400101,0,0,0,0,1.33333333333333
"1119",522,560,2010,0,0,-0.240985142346827,-0.697061989494458,0.489092348385222,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.727056542736264,1.1153238118332,6.7381538984249,4.43095849208054,6.95654635017981,0,0,4.60527017099142,0,0.6
"1120",522,560,2014,0,1,0.518411796456341,0.898924747422397,0.876856707295281,-0.343793346057863,-0.319148425395377,0.299134032622409,-0.727056542736264,0.0784896400597471,8.65695516403714,4.73627538626766,7.21229501235176,0,0,2.31243834127275,0,1.66666666666667
